sample,image_name,zone,camera,timestamp,date,time,plant_id,genotype,area,marker_area,marker_ellipse_major_axis,marker_ellipse_minor_axis,marker_ellipse_eccentricity,in_bounds,object_in_frame,estimated_object_count,perimeter,height,width,solidity,center_of_mass_x,center_of_mass_y,ellipse_center_x,ellipse_center_y,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,convex_hull_vertices,convex_hull_area,longest_path
z1c2--2021-09-02--11-30-07_plant_12,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,12,WT,3743.0,N/A,N/A,N/A,N/A,True,True,8,769.2102386951447,131,94,0.4857569268704172,1013.3641464066257,872.6358535933743,1013.3270263671875,873.9388427734375,106.9205322265625,74.81692504882812,176.77359008789062,0.7143943779970688,23,7705.5,913
z1c2--2021-09-02--11-30-07_plant_13,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,13,lhycca1,2933.0,N/A,N/A,N/A,N/A,True,True,6,515.8721451759338,79,86,0.5647443920284971,1214.8032730992159,853.9522673031026,1213.70361328125,854.0200805664062,82.2744140625,72.63697814941406,88.15219116210938,0.46963194660121116,18,5193.5,612
z1c2--2021-09-02--11-30-07_plant_14,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,14,WT,3851.0,N/A,N/A,N/A,N/A,True,True,9,748.8670928478241,108,119,0.47610805464548434,1395.9426123084913,848.6803427681122,1394.6837158203125,846.3618774414062,112.05828094482422,79.70353698730469,134.62379455566406,0.7029203182537306,24,8088.5,847
z1c2--2021-09-02--11-30-07_plant_15,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,15,lhycca1,4426.0,N/A,N/A,N/A,N/A,True,True,7,751.979790687561,95,110,0.5532845802862679,1597.0092634432897,860.8217352010845,1593.4678955078125,858.6779174804688,99.1890869140625,83.8028564453125,94.39051055908203,0.5349561799839032,23,7999.5,701
z1c2--2021-09-02--11-30-07_plant_16,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,16,WT,4071.0,N/A,N/A,N/A,N/A,True,True,9,695.9970356225967,127,107,0.4774246511082444,1014.3345615327929,1078.9172193564234,1012.9605102539062,1075.3128662109375,114.85649108886719,86.60662078857422,169.0975799560547,0.6568261786437866,22,8527.0,846
z1c2--2021-09-02--11-30-07_plant_17,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,17,lhycca1,3603.0,N/A,N/A,N/A,N/A,True,True,8,700.3401814699173,97,102,0.5259470111670681,1220.1346100471828,1066.2126006106023,1219.74609375,1064.7239990234375,88.83761596679688,81.22291564941406,137.5919647216797,0.4050711181705859,19,6850.5,674
z1c2--2021-09-02--11-30-07_plant_18,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,18,WT,5075.0,N/A,N/A,N/A,N/A,True,True,8,895.7199051380157,140,109,0.47178581388863067,1415.0281773399015,1074.2585221674876,1416.9273681640625,1077.9278564453125,129.7031707763672,90.41848754882812,174.5003204345703,0.7169558663358695,20,10757.0,920
z1c2--2021-09-02--11-30-07_plant_19,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,19,lhycca1,3299.0,N/A,N/A,N/A,N/A,True,True,6,568.156415939331,84,82,0.6155424946356937,1620.2976659593817,1049.3713246438315,1620.7376708984375,1049.252197265625,80.54885864257812,70.2994613647461,31.930912017822266,0.48815755102458186,21,5359.5,609
z1c2--2021-09-02--11-30-07_plant_20,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,20,WT,3556.0,N/A,N/A,N/A,N/A,True,True,7,759.4528793096542,120,97,0.4292871370797368,1003.7829021372329,1271.6226096737907,1003.3369750976562,1273.1429443359375,107.00301361083984,78.3143539428711,151.343017578125,0.6814236166919503,18,8283.5,901
z1c2--2021-09-02--11-30-07_plant_21,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,21,lhycca1,3573.0,N/A,N/A,N/A,N/A,True,True,8,642.0559107065201,97,101,0.5726420386248898,1246.541001959138,1277.3817520291072,1244.703369140625,1277.1790771484375,85.33663177490234,78.13963317871094,67.76595306396484,0.40194586473034843,19,6239.5,727
z1c2--2021-09-02--11-30-07_plant_22,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,22,WT,4731.0,N/A,N/A,N/A,N/A,True,True,9,816.0214208364487,132,99,0.48722966014418123,1433.2475163813147,1263.3314309871064,1431.560791015625,1268.629638671875,128.50494384765625,88.09733581542969,6.127777576446533,0.7280198934083568,22,9710.0,840
z1c2--2021-09-02--11-30-07_plant_23,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,23,lhycca1,4594.0,N/A,N/A,N/A,N/A,True,True,6,720.180801153183,101,110,0.5399306575777164,1652.969960818459,1245.1630387461908,1655.38720703125,1245.6011962890625,104.564208984375,86.22875213623047,84.26066589355469,0.5656450428284551,23,8508.5,794
z1c2--2021-09-02--11-30-07_plant_24,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,24,WT,3227.0,N/A,N/A,N/A,N/A,True,True,8,597.8132700920105,106,91,0.48573793933920373,1034.6687325689495,1469.4397273008988,1037.1895751953125,1465.6812744140625,103.28997802734375,77.95806884765625,2.9687116146087646,0.6560129970487429,22,6643.5,696
z1c2--2021-09-02--11-30-07_plant_25,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,25,lhycca1,3623.0,N/A,N/A,N/A,N/A,True,True,7,618.9848430156708,104,91,0.5871485292926019,1252.223295611372,1479.7728401876898,1252.141845703125,1482.40966796875,85.19364166259766,76.40848541259766,175.82461547851562,0.44227368369751713,21,6170.5,702
z1c2--2021-09-02--11-30-07_plant_26,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,26,WT,2986.0,N/A,N/A,N/A,N/A,True,True,5,596.8427076339722,95,105,0.5185378136667534,1460.8553248492967,1470.9876088412593,1459.861083984375,1471.7574462890625,87.00445556640625,73.44523620605469,88.43073272705078,0.5360993654968467,20,5758.5,747
z1c2--2021-09-02--11-30-07_plant_27,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,27,lhycca1,4516.0,N/A,N/A,N/A,N/A,True,True,8,736.9675980806351,99,104,0.5660211819264273,1670.272364924712,1466.3817537643934,1672.41796875,1466.1650390625,98.9691162109375,83.20995330810547,101.0379638671875,0.5413973431243846,20,7978.5,768
