sample,image_name,zone,camera,timestamp,date,time,plant_id,genotype,area,marker_area,marker_ellipse_major_axis,marker_ellipse_minor_axis,marker_ellipse_eccentricity,in_bounds,object_in_frame,estimated_object_count,perimeter,height,width,solidity,center_of_mass_x,center_of_mass_y,ellipse_center_x,ellipse_center_y,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,convex_hull_vertices,convex_hull_area,longest_path
z6c2--2021-09-02--11-30-07_plant_00,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,0,WT,2174.0,N/A,N/A,N/A,N/A,True,True,6,647.5960347652435,85,76,0.5090142823694686,1087.7470101195952,278.2318307267709,1087.13818359375,277.9897155761719,73.50059509277344,64.54142761230469,169.8056182861328,0.478463297947346,20,4271.0,600
z6c2--2021-09-02--11-30-07_plant_01,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,1,lhycca1,2420.0,N/A,N/A,N/A,N/A,True,True,5,487.8305150270462,79,89,0.566678374897553,1278.8690082644628,278.747520661157,1279.4964599609375,277.0520324707031,75.71358489990234,63.477439880371094,78.02667236328125,0.5450723024738178,19,4270.5,563
z6c2--2021-09-02--11-30-07_plant_02,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,2,WT,3545.0,N/A,N/A,N/A,N/A,True,True,8,659.269113779068,108,106,0.4813959804454101,1462.4200282087447,261.91255289139633,1460.5166015625,262.640625,109.20967102050781,75.9304428100586,39.041893005371094,0.7187465735152192,21,7364.0,784
z6c2--2021-09-02--11-30-07_plant_03,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,3,lhycca1,1856.0,N/A,N/A,N/A,N/A,True,True,5,369.9898953437805,68,65,0.6133509583608724,1676.4030172413793,273.4757543103448,1675.7364501953125,270.60333251953125,62.42151641845703,55.85438537597656,154.85838317871094,0.4464796410470475,18,3026.0,492
z6c2--2021-09-02--11-30-07_plant_04,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,4,WT,3490.0,N/A,N/A,N/A,N/A,True,True,7,638.6416971683502,100,103,0.5071937218427555,1076.9094555873926,468.9297994269341,1075.377685546875,465.61151123046875,103.17830657958984,74.50203704833984,148.17514038085938,0.691819220849107,24,6881.0,716
z6c2--2021-09-02--11-30-07_plant_05,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,5,lhycca1,3060.0,N/A,N/A,N/A,N/A,True,True,6,443.5878744125366,81,84,0.6363069245165315,1261.9555555555555,469.4235294117647,1263.6739501953125,468.8114318847656,79.33580780029297,72.04975891113281,91.27587127685547,0.4186190886509192,21,4809.0,596
z6c2--2021-09-02--11-30-07_plant_06,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,6,WT,3079.0,N/A,N/A,N/A,N/A,True,True,6,475.73000979423523,83,90,0.52279480431276,1482.4053264046768,456.9314712569016,1483.89111328125,455.8757019042969,86.24022674560547,80.91252899169922,90.35404968261719,0.3460323245109977,19,5889.5,704
z6c2--2021-09-02--11-30-07_plant_07,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,7,lhycca1,3090.0,N/A,N/A,N/A,N/A,True,True,6,568.7422024011612,92,91,0.5254655216393164,1664.4284789644014,459.55566343042074,1660.882080078125,460.32086181640625,80.10696411132812,77.17549896240234,170.5028076171875,0.2680477989149029,22,5880.5,611
z6c2--2021-09-02--11-30-07_plant_08,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,8,WT,2503.0,N/A,N/A,N/A,N/A,True,True,5,507.5878744125366,89,85,0.5231476643327412,1071.3044346783859,648.2121454254894,1074.591552734375,645.3964233398438,81.9011459350586,74.81678771972656,36.39965057373047,0.4068362349623281,22,4784.5,629
z6c2--2021-09-02--11-30-07_plant_09,z6c2--2021-09-02--11-30-07.png,6,2,2021-09-02 11:30,2021-09-02,11:30:07,9,lhycca1,3016.0,N/A,N/A,N/A,N/A,True,True,6,438.17366087436676,76,80,0.6654164368450083,1280.2125331564987,644.4950265251989,1277.8846435546875,645.1815795898438,80.31144714355469,65.94326782226562,60.314937591552734,0.5707926288801343,19,4532.5,631
