sample,image_name,zone,camera,timestamp,date,time,plant_id,genotype,area,marker_area,marker_ellipse_major_axis,marker_ellipse_minor_axis,marker_ellipse_eccentricity,in_bounds,object_in_frame,estimated_object_count,perimeter,height,width,solidity,center_of_mass_x,center_of_mass_y,ellipse_center_x,ellipse_center_y,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,convex_hull_vertices,convex_hull_area,longest_path
z4c2--2021-09-02--11-30-07_plant_00,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,0,lhycca1,3744.0,N/A,N/A,N/A,N/A,True,True,8,733.3306164741516,102,100,0.5967484858144724,982.1957799145299,368.84375,981.1025390625,368.9410705566406,84.45305633544922,81.96578216552734,104.24810791015625,0.24090604732683274,22,6274.0,662
z4c2--2021-09-02--11-30-07_plant_01,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,1,WT,3796.0,N/A,N/A,N/A,N/A,True,True,8,926.5709109306335,124,97,0.46588119783996074,1176.718124341412,382.3140147523709,1175.8828125,385.1441650390625,119.1947021484375,81.49170684814453,173.040771484375,0.7297766360235691,22,8148.0,816
z4c2--2021-09-02--11-30-07_plant_02,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,2,lhycca1,3599.0,N/A,N/A,N/A,N/A,True,True,6,509.9726504087448,82,89,0.5678447459766488,1375.684634620728,375.5904417893859,1376.8232421875,374.2027893066406,93.17346954345703,80.46250915527344,74.79503631591797,0.5042161761326177,18,6338.0,738
z4c2--2021-09-02--11-30-07_plant_03,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,3,WT,3005.0,N/A,N/A,N/A,N/A,True,True,7,539.6295045614243,97,83,0.595580219998018,1582.8708818635607,372.67520798668886,1581.081787109375,370.95263671875,86.25582885742188,69.20507049560547,11.787715911865234,0.5968895629310548,23,5045.5,650
z4c2--2021-09-02--11-30-07_plant_04,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,4,lhycca1,2706.0,N/A,N/A,N/A,N/A,True,True,6,447.546244263649,84,81,0.5774647887323944,975.3887657058389,577.1334072431633,972.8218994140625,576.1484985351562,75.67875671386719,74.21713256835938,22.355518341064453,0.19558643340706108,20,4686.0,582
z4c2--2021-09-02--11-30-07_plant_05,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,5,WT,4159.0,N/A,N/A,N/A,N/A,True,True,9,671.8965303897858,94,103,0.5463382594417077,1179.8290454436162,579.362106275547,1178.18212890625,579.3698120117188,102.93122863769531,80.94071960449219,63.700836181640625,0.6177720042105457,24,7612.5,807
z4c2--2021-09-02--11-30-07_plant_06,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,6,lhycca1,3192.0,N/A,N/A,N/A,N/A,True,True,5,497.73000979423523,92,80,0.5988181221273802,1380.6838972431078,568.0432330827068,1379.61572265625,570.0553588867188,88.89278411865234,70.18333435058594,14.270692825317383,0.6137146520626697,21,5330.5,621
z4c2--2021-09-02--11-30-07_plant_07,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,7,WT,4700.0,N/A,N/A,N/A,N/A,True,True,7,724.9675980806351,121,112,0.5115367871136265,1580.49,557.6593617021276,1580.4942626953125,560.3367309570312,120.49545288085938,85.274658203125,29.692480087280273,0.7065128464857241,20,9188.0,866
z4c2--2021-09-02--11-30-07_plant_08,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,8,lhycca1,3673.0,N/A,N/A,N/A,N/A,True,True,7,607.369619011879,93,84,0.6086164043082022,972.1178872855976,760.0378437244759,971.2636108398438,762.1519775390625,92.1057357788086,75.19300079345703,18.76546859741211,0.577519398189317,22,6035.0,716
z4c2--2021-09-02--11-30-07_plant_09,z4c2--2021-09-02--11-30-07.png,4,2,2021-09-02 11:30,2021-09-02,11:30:07,9,WT,5526.0,N/A,N/A,N/A,N/A,True,True,8,833.6782749891281,114,139,0.4934148845930622,1148.1029677886356,786.1503800217155,1144.6295166015625,786.3621215820312,131.43324279785156,92.63207244873047,102.77069854736328,0.7094217617479024,23,11199.5,962
