sample,image_name,zone,camera,timestamp,date,time,plant_id,genotype,area,marker_area,marker_ellipse_major_axis,marker_ellipse_minor_axis,marker_ellipse_eccentricity,in_bounds,object_in_frame,estimated_object_count,perimeter,height,width,solidity,center_of_mass_x,center_of_mass_y,ellipse_center_x,ellipse_center_y,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,convex_hull_vertices,convex_hull_area,longest_path
z2c2--2021-09-02--11-30-07_plant_00,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,0,WT,3309.0,N/A,N/A,N/A,N/A,True,True,8,831.1045907735825,97,115,0.475636050021561,1016.2039891205802,571.9981867633726,1012.2032470703125,570.0062255859375,90.86532592773438,79.01557159423828,94.08151245117188,0.4937746138800885,19,6957.0,786
z2c2--2021-09-02--11-30-07_plant_01,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,1,lhycca1,2539.0,N/A,N/A,N/A,N/A,True,True,6,385.50461411476135,69,75,0.6503586065573771,1209.2957857424183,546.8826309570698,1211.2880859375,546.179443359375,68.72433471679688,62.70037078857422,103.79530334472656,0.4094200841470343,21,3904.0,591
z2c2--2021-09-02--11-30-07_plant_02,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,2,WT,2474.0,N/A,N/A,N/A,N/A,True,True,7,581.7392635345459,97,84,0.47746791469651645,1387.1495553759094,538.2485852869846,1389.664794921875,536.9081420898438,94.88471984863281,65.80393981933594,42.420204162597656,0.7204425589646809,20,5181.5,694
z2c2--2021-09-02--11-30-07_plant_03,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,3,lhycca1,2494.0,N/A,N/A,N/A,N/A,True,True,5,662.6358983516693,86,103,0.49894968490547165,1585.8985565356857,519.4073777064956,1584.6995849609375,519.4804077148438,83.53315734863281,69.49565887451172,105.7354965209961,0.5548461455699663,19,4998.5,708
z2c2--2021-09-02--11-30-07_plant_04,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,4,WT,3123.0,N/A,N/A,N/A,N/A,True,True,7,649.7543950080872,82,101,0.5091709464416728,1004.1364073006724,752.7774575728466,1006.2850952148438,754.0543212890625,97.75791931152344,71.51203155517578,84.28826904296875,0.6818182446118989,21,6133.5,692
z2c2--2021-09-02--11-30-07_plant_05,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,5,lhycca1,3147.0,N/A,N/A,N/A,N/A,True,True,6,605.3279888629913,89,95,0.5504635298233339,1204.2459485224024,724.5748331744519,1205.0662841796875,725.8108520507812,79.8379898071289,74.51516723632812,106.06230163574219,0.35902042745888324,20,5717.0,642
z2c2--2021-09-02--11-30-07_plant_06,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,6,WT,3058.0,N/A,N/A,N/A,N/A,True,True,5,524.1147857904434,95,82,0.5231822070145423,1402.337475474166,720.3835840418574,1402.1136474609375,721.6886596679688,93.43852996826172,74.11601257324219,11.805917739868164,0.6089532595125631,20,5845.0,687
z2c2--2021-09-02--11-30-07_plant_07,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,7,lhycca1,3006.0,N/A,N/A,N/A,N/A,True,True,6,521.6295045614243,80,79,0.6130315081064546,1621.3306719893546,710.1593479707252,1621.353271484375,709.0821533203125,76.88382720947266,70.95428466796875,29.910236358642578,0.3850958196935603,23,4903.5,666
z2c2--2021-09-02--11-30-07_plant_08,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,8,WT,3599.0,N/A,N/A,N/A,N/A,True,True,8,636.0975408554077,92,112,0.4852366185789403,1021.8421783828842,909.6982495137538,1021.51611328125,911.0081176757812,105.28665161132812,80.24730682373047,88.38116455078125,0.6473659775358049,21,7417.0,850
z2c2--2021-09-02--11-30-07_plant_09,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,9,lhycca1,4173.0,N/A,N/A,N/A,N/A,True,True,6,602.8843377828598,91,97,0.6251685393258427,1217.0903426791276,927.6151449796309,1216.2099609375,926.1604614257812,86.06211853027344,83.55302429199219,176.08351135253906,0.23970592290769566,19,6675.0,740
z2c2--2021-09-02--11-30-07_plant_10,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,10,WT,4584.0,N/A,N/A,N/A,N/A,True,True,9,728.180801153183,118,116,0.48487412735350116,1405.316972076789,897.880890052356,1407.933349609375,897.4020385742188,114.22215270996094,86.11582946777344,48.311004638671875,0.6569515248330852,25,9454.0,845
z2c2--2021-09-02--11-30-07_plant_11,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,11,lhycca1,2816.0,N/A,N/A,N/A,N/A,True,True,5,483.5878744125366,78,86,0.6101180803813238,1628.504971590909,892.8277698863636,1628.401123046875,891.64111328125,77.42251586914062,67.09855651855469,62.9943962097168,0.4989091292834476,20,4615.5,572
z2c2--2021-09-02--11-30-07_plant_12,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,12,WT,3856.0,N/A,N/A,N/A,N/A,True,True,7,650.0975408554077,108,103,0.5012674683132922,1008.6566390041494,1120.4660269709543,1008.8787841796875,1117.6868896484375,98.85675811767578,82.00406646728516,148.8794708251953,0.5584708716428389,22,7692.5,785
z2c2--2021-09-02--11-30-07_plant_13,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,13,lhycca1,3536.0,N/A,N/A,N/A,N/A,True,True,6,527.1442233324051,98,96,0.6167800453514739,1227.2372737556561,1122.3201357466064,1226.648681640625,1122.7003173828125,88.50936889648438,75.2377700805664,128.1579132080078,0.526695052396651,18,5733.0,632
z2c2--2021-09-02--11-30-07_plant_14,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,14,WT,5097.0,N/A,N/A,N/A,N/A,True,True,8,754.3818116188049,133,126,0.5161780343308522,1434.8491269374142,1115.2093388267608,1434.311279296875,1112.9864501953125,121.34541320800781,93.51805114746094,149.399169921875,0.6372266659021221,21,9874.5,885
z2c2--2021-09-02--11-30-07_plant_15,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,15,lhycca1,4965.0,N/A,N/A,N/A,N/A,True,True,8,691.6955199241638,111,99,0.607450908423564,1640.3631419939577,1091.7657603222558,1640.7908935546875,1091.14501953125,101.39240264892578,84.6980972290039,166.8664093017578,0.5497191472041598,23,8173.5,793
z2c2--2021-09-02--11-30-07_plant_16,z2c2--2021-09-02--11-30-07.png,2,2,2021-09-02 11:30,2021-09-02,11:30:07,16,WT,2631.0,N/A,N/A,N/A,N/A,True,True,6,508.6589421033859,82,77,0.5572971828002542,1045.141011022425,1338.6301786393005,1045.680419921875,1338.943359375,80.72244262695312,64.15723419189453,37.64457321166992,0.6068870797048675,19,4721.0,599
