"","x"
"640",2
"641",5
"642",2
"643",3
"644",4
"645",1
"646",4
"647",2
"648",5
"649",5
"650",4
"651",1
"652",1
"653",5
"654",1
"655",5
"656",1
"657",5
"658",6
"659",1
"660",2
"661",3
"662",6
"663",1
"664",4
"665",4
"666",2
"667",1
"668",5
"669",1
"670",5
"671",4
"672",4
"673",5
"674",4
"675",5
"676",6
"677",1
"678",2
"679",5
"680",5
"681",1
"682",3
"683",5
"684",1
"685",5
"686",5
"687",4
"688",1
"689",1
"690",4
"691",6
"692",5
"693",5
"694",3
"695",5
"696",1
"697",6
"698",1
"699",5
"700",2
"701",1
"702",5
"703",2
"704",4
"705",3
"706",4
"707",3
"708",5
"709",2
"710",1
"711",4
"712",4
"713",1
"714",3
"715",5
"716",5
"717",1
"718",1
"719",5
"720",2
"721",5
"722",5
"723",1
"724",1
"725",1
"726",6
"727",5
"728",4
"729",1
"730",3
"731",1
"732",1
"733",1
"734",2
"735",5
"736",2
"737",1
"738",5
"739",4
"740",5
"741",3
"742",5
"743",1
"744",5
"745",3
"746",5
"747",1
"748",5
"749",5
"750",1
"751",1
"752",1
"753",5
"754",4
"755",1
"756",5
"757",5
"758",4
"759",2
"760",5
"761",3
"762",5
"763",5
"764",2
"765",4
"766",3
"767",3
"768",4
"769",4
"770",2
"771",5
"772",1
"773",6
"774",4
"775",4
"776",1
"777",5
"778",1
"779",6
"780",4
"781",1
"782",2
"783",3
"784",3
"785",2
"786",5
"787",1
"788",5
"789",4
"790",2
"791",5
"792",2
"793",6
"794",3
"795",1
"796",5
"797",4
"798",5
"799",4
"800",2
"801",6
"802",3
"803",3
"804",4
"805",3
"806",5
"807",4
"808",5
"809",2
"810",1
"811",2
"812",5
"813",5
"814",4
"815",1
"816",5
"817",5
"818",2
"819",4
"820",5
"821",5
"822",1
"823",3
"824",6
"825",1
"826",5
"827",5
"828",3
"829",5
"830",4
"831",2
"832",5
"833",5
"834",1
"835",5
"836",2
"837",1
"838",5
"839",4
"840",5
"841",5
"842",1
"843",5
"844",4
"845",4
"846",4
"847",1
"848",5
"849",5
"850",5
"851",1
"852",1
"853",5
"854",1
"855",1
"856",1
"857",5
"858",5
"859",5
"860",4
"861",6
"862",5
"863",6
"864",4
"865",1
"866",2
"867",4
"868",5
"869",5
"870",5
"871",3
"872",5
"873",5
"874",1
"875",5
"876",1
"877",5
"878",2
"879",2
"880",4
"881",4
"882",1
"883",4
"884",1
"885",2
"886",4
"887",4
"888",1
"889",3
"890",4
"891",3
"892",4
"893",4
"894",1
"895",4
"896",1
"897",4
"898",3
"899",2
"900",4
"901",4
"902",4
"903",4
"904",4
"905",3
"906",4
"907",5
"908",2
"909",2
"910",5
"911",4
"912",3
"913",1
"914",6
"915",4
"916",5
"917",4
"918",3
"919",5
"920",6
"921",2
"922",5
"923",4
"924",4
"925",4
"926",5
"927",4
"928",5
"929",5
"930",3
"931",3
"932",4
"933",4
"934",5
"935",2
"936",4
"937",4
"938",4
"939",4
"940",6
"941",5
"942",4
"943",4
"944",6
"945",1
"946",5
"947",5
"948",3
"949",1
"950",4
"951",1
"952",5
"953",3
"954",6
"955",4
"956",4
"957",5
"958",6
"959",3
"960",2
"961",5
"962",1
"963",3
"964",4
"965",4
"966",6
"967",5
"968",4
"969",1
"970",4
"971",4
"972",6
"973",5
"974",6
"975",4
"976",5
"977",4
"978",4
"979",4
"980",4
"981",4
"982",1
"983",4
"984",1
"985",4
"986",5
"987",2
"988",2
"989",1
"990",4
"991",3
"992",4
"993",4
"994",4
"995",4
"996",1
"997",4
"998",4
"999",6
"1000",4
"1001",4
"1002",3
"1003",6
"1004",4
"1005",4
"1006",3
"1007",1
"1008",5
"1009",4
"1010",3
"1011",2
"1012",2
"1013",5
"1014",4
"1015",6
"1016",5
"1017",5
"1018",4
"1019",1
"1020",4
"1021",4
"1022",6
"1023",6
"1024",2
"1025",4
"1026",5
"1027",5
"1028",4
"1029",3
"1030",1
"1031",4
"1032",2
"1033",4
"1034",4
"1035",5
"1036",5
"1037",5
"1038",4
"1039",1
"1040",2
"1041",1
"1042",4
"1043",1
"1044",2
"1045",5
"1046",1
"1047",4
"1048",4
"1049",4
"1050",4
"1051",4
"1052",4
"1053",5
"1054",6
"1055",6
"1056",2
"1057",4
"1058",2
"1059",4
"1060",4
"1061",4
"1062",4
"1063",4
"1064",3
"1065",5
"1066",1
"1067",4
"1068",5
"1069",1
"1070",5
"1071",3
"1072",5
"1073",3
"1074",3
"1075",5
"1076",4
"1077",1
"1078",3
"1079",4
"1080",4
"1081",3
"1082",4
"1083",3
"1084",4
"1085",4
"1086",4
"1087",1
"1088",4
"1089",1
"1090",1
"1091",3
"1092",1
"1093",3
"1094",4
"1095",4
"1096",4
"1097",1
"1098",3
"1099",4
"1100",5
"1101",3
"1102",6
"1103",3
"1104",5
"1105",4
"1106",4
"1107",4
"1108",2
"1109",4
"1110",5
"1111",4
"1112",5
"1113",3
"1114",4
"1115",1
"1116",5
"1117",3
"1118",2
"1119",5
"1120",3
"1121",4
"1122",4
"1123",4
"1124",6
"1125",4
"1126",6
"1127",5
"1128",6
"1129",2
"1130",4
"1131",4
"1132",5
"1133",2
"1134",4
"1135",4
"1136",5
"1137",4
"1138",2
"1139",5
"1140",4
"1141",4
"1142",4
"1143",4
"1144",4
"1145",5
"1146",4
"1147",5
"1148",6
"1149",4
"1150",6
"1151",4
"1152",4
"1153",1
"1154",6
"1155",1
"1156",5
"1157",4
"1158",4
"1159",1
"1160",4
"1161",1
"1162",4
"1163",5
"1164",4
"1165",4
"1166",4
"1167",6
"1168",4
"1169",4
"1170",5
"1171",3
"1172",1
"1173",3
"1174",3
"1175",1
"1176",4
"1177",4
"1178",1
"1179",4
"1180",1
"1181",5
"1182",6
"1183",5
"1184",5
"1185",4
"1186",6
"1187",4
"1188",4
"1189",4
"1190",4
"1191",6
"1192",6
"1193",5
"1194",5
"1195",3
"1196",5
"1197",6
"1198",5
"1199",6
"1200",4
"1201",6
"1202",4
"1203",5
"1204",5
"1205",5
"1206",4
"1207",4
"1208",3
"1209",3
"1210",4
"1211",4
"1212",2
"1213",3
"1214",6
"1215",4
"1216",1
"1217",4
"1218",2
"1219",4
"1220",1
"1221",1
"1222",3
"1223",6
"1224",6
"1225",2
"1226",5
"1227",4
"1228",6
"1229",4
"1230",3
"1231",5
"1232",5
"1233",4
"1234",2
"1235",6
"1236",4
"1237",4
"1238",6
"1239",4
"1240",4
"1241",4
"1242",6
"1243",4
"1244",6
"1245",2
"1246",4
"1247",4
"1248",3
"1249",4
"1250",2
"1251",4
"1252",5
"1253",4
"1254",1
"1255",6
"1256",4
"1257",4
"1258",4
"1259",2
"1260",1
"1261",5
"1262",4
"1263",4
"1264",4
"1265",4
"1266",6
"1267",1
"1268",5
"1269",6
"1270",4
"1271",5
"1272",4
"1273",4
"1274",4
"1275",5
"1276",4
"1277",4
"1278",6
"1279",4
"1280",4
"1281",4
"1282",4
"1283",5
"1284",6
