"","V1"
"1",3.04788360737448
"2",2.18253213464262
"3",4.42067379601929
"4",2.27647040132882
"5",3.11880915374061
"6",1.3329094732414
"7",3.25048890325373
"8",3.68262934279257
"9",1.61484039887077
"10",1.93772501761554
"11",3.23594559744766
"12",4.49735610314656
"13",3.05401185487062
"14",0.747078159969404
"15",0.973782934833192
"16",3.18029809498377
"17",2.97994390675319
"18",1.44789658397671
"19",2.71414369470619
"20",3.01905817036529
"21",3.27266873304879
"22",3.89055489017217
"23",2.66810115250077
"24",3.06597212123675
"25",3.44048828230183
"26",2.82533988395386
"27",1.1781054437064
"28",3.71151387673972
"29",2.44066367737642
"30",2.20726458267966
"31",1.59413897861637
"32",2.25419802158872
"33",3.41061604176217
"34",3.10694739908366
"35",1.73505576006048
"36",3.7951981151213
"37",4.43951425169668
"38",2.09583578226413
"39",4.1983407326389
"40",3.02570945835879
"41",1.11865909589817
"42",4.50881049594975
"43",2.58160493448042
"44",3.76261910359354
"45",2.30156223637234
"46",3.3237646716191
"47",2.89502101171177
"48",4.11257636477984
"49",0.817830347615778
"50",1.33839157290851
"51",3.25628117984191
"52",4.13243842327508
"53",2.40802702524971
"54",1.4460237073039
"55",3.57388496626649
"56",2.85325985408086
"57",2.5367274656695
"58",2.77317276458294
"59",2.94751787592952
"60",2.58626229850826
"61",1.96480125392599
"62",1.37122337593522
"63",3.45832804769662
"64",1.5806972052066
"65",3.34826064473357
"66",4.28252362498463
"67",2.75506986236738
"68",3.30713112667969
"69",4.3591523341777
"70",3.51073129489335
"71",1.47348054533149
"72",2.80416962627113
"73",3.43905190914514
"74",3.18787672783091
"75",2.8899622442954
"76",1.65661610741116
"77",0.656219064307668
"78",3.2530754270849
"79",3.5111289019469
"80",2.47950608285246
"81",3.28186916492782
"82",3.79390267507927
"83",3.50160154598348
"84",1.88337251232048
"85",2.14233962613031
"86",1.81831922821124
"87",2.82769732548841
"88",2.6574820178876
"89",3.49898793031113
"90",2.5299395870859
"91",4.50467146201335
"92",2.30756223831375
"93",2.3003065468018
"94",3.81308986198642
"95",2.72521139733332
"96",2.09861122904119
"97",3.45196235538544
"98",3.18267382106237
"99",2.06607156717426
"100",3.15618958809989
"101",2.51760119455805
"102",2.77803297684904
"103",1.49219783537035
"104",0.799199538226426
"105",3.13818463745722
"106",1.69711843152241
"107",1.25483333804231
"108",2.5090094181818
"109",3.23753860821093
"110",4.57928727201254
"111",2.29476878668744
"112",0.916055345747262
"113",2.5639187049558
"114",3.01853239377703
"115",4.24500949297355
"116",1.89029841262406
"117",3.23631541885936
"118",2.84560428882596
"119",1.83658507550713
"120",2.4652892277091
"121",1.58333186423253
"122",0.954188489941391
"123",2.7932688631412
"124",2.81932853982842
"125",0.784149717122768
"126",1.48612213110496
"127",3.21944464977696
"128",2.32578496844503
"129",2.62786312024746
"130",3.80956154872012
"131",1.13033717339894
"132",2.84575161440867
"133",2.945523615828
"134",1.26784128884418
"135",3.27422305762892
"136",3.59368682204175
"137",2.53486980204906
"138",4.55414292450298
"139",2.54437197650517
"140",2.21573178649597
"141",2.73699721554016
"142",3.53572178009679
"143",2.44328589732893
"144",2.80515619572903
"145",2.72021271536058
"146",4.37024632968269
"147",4.02894621811038
"148",2.30102051863631
"149",2.62821667716966
"150",3.12920501521864
"151",3.00932259846454
